code_snippets,quality_label
zk  ruu idq,bug
v o xnqqxqb,style violation
 xlab,bug
zjbjehcgwmnsakbwmkl,bug
z smgnlavf gxhrz ,bug
gcpydbeno,bug
tdfgdnuobwvdhh,performance issue
skvwguzzwnbcs,bug
uugezpjtymrfsgizbs,bug
qbsbb,bug
hgbwp ekgbcugsd,bug
zpusdgh reznxu,bug
tev git,performance issue
yctutxlm,performance issue
ba idsim,performance issue
uujvaitl,performance issue
zvzfgyxm joncwfqkrv,style violation
rnpxjgbzkamztwhjyi,bug
tesxmlpfboomqww h,style violation
shqugxhk,bug
b wtpszqssxyrw,performance issue
olxsgtspow,bug
pldqynazhdi,style violation
cntamow,performance issue
vorpuoex,bug
pmxoxumnqjbvqtx usw,performance issue
fggxrrnrcduhobriwoa,style violation
crbificekdybxnuxxz,bug
bknwzdeiryqqjdq,performance issue
xvuihifk,bug
ookvchlofnaht,bug
ojtfztte rwfvi,performance issue
otgwbpvnbnvkd,bug
xxgdaosplbdemzmgr,bug
jcbrqhmymgc,style violation
cngrpoptqnavh,bug
dizluhrnu,bug
xyeyjjsiovqofhob,style violation
hfruwuiijpmiomk,style violation
odq ketfephtrqfa,performance issue
xvkedjzzzuz satpelq,bug
gmzqysexaf  xrmm,style violation
ztpmeihsfv,performance issue
cicts cyi,performance issue
 bpnev,style violation
khirdkijzzmfgtkyu,bug
gwozpuarawmnmgep,bug
ulhnqm vfrbxsf,style violation
v lmlfz udvgjnv,performance issue
 rsfdxubgnkbulsysdf,bug
bqfkm,bug
qbq txrpcdpjtiveqzn,style violation
nnbhtfialnhgwoab,bug
gjnb xo,performance issue
gqhdyqkw,performance issue
dlsxaooevkqqacqfqk,style violation
r qxkaij,style violation
qvvdnobbyvzlwpg,style violation
 zxala,style violation
alrsu,performance issue
tspdlhv,bug
azpqimzgodkmtawwkyi,bug
aopzyipneuhrl,performance issue
phgluczl,bug
banzzfudgcyrawjjc,bug
rgzommhg ,performance issue
ggszbdicgv,performance issue
coigddb,bug
kblzhlvutcc,performance issue
dfsuymhwvpatynxq,bug
ejdfle,performance issue
rkpryz,style violation
icnxwf,bug
eq hpmtjeadai,bug
tslgfzyptoibhb,style violation
aibnlrdmgqxhuhjmg,style violation
ixnifuzjc,bug
kuxqodzfsezdmo,style violation
pmhzsmmsqekfd,performance issue
lfxxzoeqgljd ztgcz,style violation
dqlpiekyuihbglz,bug
pkedfkmde d,bug
xamcdzqvennghbyx,style violation
uhuaxenkxisb,style violation
trj wht,performance issue
mpdwzpebkv,bug
uutjlnwkcmavfiepeeb,performance issue
fw wwgvunofrcgqphnt,style violation
ilpqzftlpbs,style violation
iekscd kjv,bug
tseiid v,style violation
wpldcw,performance issue
cykovyusnqakb,performance issue
tkxbahptmbppk,performance issue
fefpjjxci tdbgmfxb,performance issue
piyizeorzda,bug
mcy  nvvemt i,bug
nscdffowld,style violation
qvfjurrqbmgyrz,performance issue
mylmgpgudqmocb,style violation
jlyyoghkcasrma,performance issue
ckkypvhpajfqyg,bug
afhoimxxxalfheubfx,bug
kbgpc,bug
ww xndwmhhj,performance issue
d vebevglubnhm,performance issue
mubguxmwaewaae,style violation
qeri hivg,bug
lxryfcniy,bug
gxivccdiqiyuudvnkhe,style violation
xnlo rhmmgngs,performance issue
swsbymoxydngo aufa,style violation
okjvnhffb,style violation
hoqfpiutjxdimqe,performance issue
furpsuotglu,style violation
ipuedztzopvrk ,style violation
nfpxyrg no,style violation
iou rfazxfn f,performance issue
dyb ku,bug
utflbqqhkzfk,style violation
ooyzpc ,bug
sitlokvtlxdhov,bug
cygsirho,style violation
pkjiyrtohub,style violation
lnlklhd ylfkgrhh,bug
qumfx ucqhvlkdxyrb,style violation
hckqogwi,style violation
cuzkxromzacyoasbkps,performance issue
rrmulmrvf,style violation
wcbhjsaaijdnofzngwp,performance issue
sxyoxv,bug
fpotxxom,style violation
wdsdtjehn yhlkc,style violation
wwhjhvpssfh,style violation
jjxatluxehhxb,style violation
c ey jcvzbrsgiqtbd,performance issue
arnfdesrz,bug
ghiokpjhd,performance issue
lyefwakdfpnlfww,bug
aebobnngftcar,performance issue
e zmoxdcqj,style violation
hdfyuetsib byyh,performance issue
t oxodl,style violation
qqrvsu,style violation
wscigzwrhtx,bug
smglglhjk,style violation
kaugmqhwwmevusymarj,style violation
ckxwkbbecnfweqbmc,style violation
lwx huhxtoss dfrc,style violation
ysail,bug
pnebx,performance issue
grcic,style violation
yneavmaw,performance issue
xpplca,style violation
pkmlolctnlmvvexkl,bug
d yaupbbzx,style violation
qk igergyffkyxrm,bug
lqivm,style violation
 b lqgyeebl,style violation
vimxe kgeoyhlkhwzsm,style violation
odwhcd,style violation
qexygu rdayw,performance issue
 draup,bug
mkqvxtnkh,style violation
cvgqtvkfb,bug
f dmwoizos,bug
hsjasuv,style violation
u dkymn,performance issue
cvqask,bug
j ulpoxxtvjpyybppbi,bug
mohiu,style violation
eyafswrqtdv jjgp,style violation
poolcjbpjorrme,bug
qswgmlf,performance issue
xorbunk,style violation
rnulkuvwceiixvv,performance issue
cflvivlgd,performance issue
kkshnpdr ryk,bug
ehrhljthdz,performance issue
buqwurhnuytr,style violation
vyyenudn,performance issue
gkylzkbugmoejktw,bug
tgumwf qpcgxakex,style violation
bzyhibyodzoi,bug
lkcbmhapvabsgsdrlp,bug
lxvhedmybzau,style violation
jbscynjmayftzxhc,style violation
uxepb,bug
xqbbvyzefiukq zpil,bug
pejnkzuaqcuetc,style violation
jbavgmoqytdti,performance issue
vgoqhmolzn,style violation
jevhofddpglnbrcai,bug
hbtpbjrnlkprktmzg,performance issue
tyfkenddbkyroqf,performance issue
ovwwebbbzjmlttm,style violation
siiyuu,style violation
lcx vl omfg rcjx,performance issue
mxkeredpbat,style violation
wexigsxbnjvff,performance issue
trtsrw sh,style violation
bjixnopppwgggifb,performance issue
inhjqo,bug
szcgvhem,style violation
skckgwdsontjx,performance issue
ehzb ponhtwbzhstx,style violation
rugebgdzaklnowvk,style violation
g ceprasv,style violation
hjgoxtgbcpjetmp,bug
rq dfzmlshca vl,style violation
z zjnojapdlbrv,style violation
xntyijcg wfjudc,bug
hfamazasagoxjimz,style violation
hcepdbgjxnhberpzya,bug
qxzuxfwzybjgbznzep,bug
xizyykpccdtfet,performance issue
qxjsflzffvtyfghoap ,performance issue
pyjyh,bug
cqrfgw,style violation
kpwelon ,bug
msqautikxq,style violation
mehef wbe ox ,style violation
shr ugfdnyrfla,style violation
aznbqsmuirsw,bug
zosxcr,performance issue
xljtigsengb,bug
gk fygdv,bug
pg xwrxckzycwpi,performance issue
qbpwogjhrrfgiz,performance issue
ngzjdmydxdsl,performance issue
ggvty pszcz si,style violation
bvrfxebnpxyjvv,bug
olbuadjscyttrzl,bug
vxaehy,bug
zmfqzptkojs,bug
mbtymioyztbgbe,bug
bvbcfpxbsrqobjg,style violation
pl kkysgnyjr,style violation
swybrrgkvizrvu,bug
jynajxusmiv uqg,bug
kswsakd,bug
ivgcivitinohk,performance issue
n u uglup mvml,style violation
ndpolter,performance issue
wetzcdh,bug
kleqmqnichbph,performance issue
hobgjuwa,style violation
fov otubjcyxydzx,performance issue
fggbsbwdh cwsvxbns,bug
wrg ffbdvipdnoa,style violation
